Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
长跑,chang pao,ch'ang² p'ao³,charng pao,чан пао
长远,chang yuan,ch'ang² yüan³,charng yeuan,чан юань
常规,chang gui,ch'ang² kuei¹,charng guei,чан гуй
常年,chang nian,ch'ang² nien²,charng nian,чан нянь
厂商,chang shang,ch'ang³ shang¹,chaang shang,чан шан
场地,chang di,ch'ang³ ti⁴,chaang dih,чан ди
场馆,chang guan,ch'ang³ kuan³,chaang goan,чан гуань
场景,chang jing,ch'ang³ ching³,chaang jiing,чан цзин
畅通,chang tong,ch'ang⁴ t'ung¹,chanq tong,чан тун
超,chao,ch'ao¹,chau,чао
超出,chao chu,ch'ao¹ ch'u¹,chau chu,чао чу
炒,chao,ch'ao³,chao,чао
炒股,chao gu,ch'ao³ ku³,chao guu,чао гу
炒作,chao zuo,ch'ao³ tso⁴,chao tzuoh,чао цзо
车号,che hao,ch'e¹ hao⁴,che haw,чэ хао
车牌,che pai,ch'e¹ p'ai²,che pair,чэ пай
车展,che zhan,ch'e¹ chan³,che jaan,чэ чжань
撤离,che li,ch'e⁴ li²,cheh li,чэ ли
撤销,che xiao,ch'e⁴ hsiao¹,cheh shiau,чэ сяо
撑,cheng,ch'eng¹,cheng,чэн
成,cheng,ch'eng²,cherng,чэн
成分,cheng fen,ch'eng² fen⁴,cherng fenn,чэн фэнь
成品,cheng pin,ch'eng² p'in³,cherng piin,чэн пинь
承诺,cheng nuo,ch'eng² no⁴,cherng nuoh,чэн но
城区,cheng qu,ch'eng² ch'ü¹,cherng chiu,чэн цюй
城乡,cheng xiang,ch'eng² hsiang¹,cherng shiang,чэн сян
城镇,cheng zhen,ch'eng² chen⁴,cherng jenn,чэн чжэнь
持有,chi you,ch'ih² yu³,chyr yeou,чи ю
冲击,chong ji,ch'ung¹ chi¹,chong ji,чун цзи
重建,zhong jian,ch'ung² chien⁴,chorng jiann,чжун цзянь
重组,zhong zu,ch'ung² tsu³,chorng tzuu,чжун цзу
崇拜,chong bai,ch'ung² pai⁴,chorng bay,чун бай
宠物,chong wu,ch'ung³ wu⁴,choong wuh,чун у
冲,chong,ch'ung¹,chong,чун
出场,chu chang,ch'u¹ ch'ang³,chu chaang,чу чан
出动,chu dong,ch'u¹ tung⁴,chu donq,чу дун
出访,chu fang,ch'u¹ fang³,chu faang,чу фан
出路,chu lu,ch'u¹ lu⁴,chu luh,чу лу
出面,chu mian,ch'u¹ mien⁴,chu miann,чу мянь
出名,chu ming,ch'u¹ ming²,chu ming,чу мин
出入,chu ru,ch'u¹ ju⁴,chu ruh,чу жу
出事,chu shi,ch'u¹ shih⁴,chu shyh,чу ши
出台,chu tai,ch'u¹ t'ai²,chu tair,чу тай
出行,chu xing,ch'u¹ hsing²,chu shyng,чу син
初等,chu deng,ch'u¹ teng³,chu deeng,чу дэн
除,chu,ch'u²,chwu,чу
厨师,chu shi,ch'u² shih¹,chwu shy,чу ши
储存,chu cun,ch'u³ ts'un²,chuu tswen,чу цунь
处处,chu chu,ch'u⁴ ch'u⁴,chuh chuh,чу чу
处长,chu chang,ch'u⁴ chang³,chuh jaang,чу чан
传出,chuan chu,ch'uan² ch'u¹,chwan chu,чуань чу
传媒,chuan mei,ch'uan² mei²,chwan mei,чуань мэй
传输,chuan shu,ch'uan² shu¹,chwan shu,чуань шу
传言,chuan yan,ch'uan² yan²,chwan yan,чуань янь
船员,chuan yuan,ch'uan² yüan²,chwan yuan,чуань юань
船长,chuan chang,ch'uan² chang³,chwan jaang,чуань чан
船只,chuan zhi,ch'uan² chih¹,chwan jy,чуань чжи
串,chuan,ch'uan⁴,chuann,чуань
窗口,chuang kou,ch'uang¹ k'ou³,chuang koou,чуан коу
创办,chuang ban,ch'uang⁴ pan⁴,chuanq bann,чуан бань
创建,chuang jian,ch'uang⁴ chien⁴,chuanq jiann,чуан цзянь
创意,chuang yi,ch'uang⁴ i⁴,chuanq yih,чуан и
此处,ci chu,tz'u³ ch'u⁴,tsyy chuh,цы чу
此次,ci ci,tz'u³ tz'u⁴,tsyy tsyh,цы цы
此前,ci qian,tz'u³ ch'ien²,tsyy chyan,цы цянь
此事,ci shi,tz'u³ shih⁴,tsyy shyh,цы ши
此致,ci zhi,tz'u³ chih⁴,tsyy jyh,цы чжи
次数,ci shu,tz'u⁴ shu⁴,tsyh shuh,цы шу
从不,cong bu,ts'ung² pu⁴,tsorng buh,цун бу
从没,cong mei,ts'ung² mei²,tsorng mei,цун мэй
醋,cu,ts'u⁴,tsuh,цу
村庄,cun zhuang,ts'un¹ chuang¹,tsuen juang,цунь чжуан
错过,cuo guo,ts'o⁴ kuo⁴,tsuoh guoh,цо го
搭,da,ta¹,da,да
搭档,da dang,ta¹ tang⁴,da danq,да дан
搭配,da pei,ta¹ p'ei⁴,da pey,да пэй
打动,da dong,ta³ tung⁴,daa donq,да дун
打断,da duan,ta³ tuan⁴,daa duann,да дуань
打发,da fa,ta³ fa,daa fa,да фа
打官司,da guan si,ta³ kuan¹ si,daa guan si,да гуань сы
打牌,da pai,ta³ p'ai²,daa pair,да пай
打印机,da yin ji,ta³ yin⁴ chi¹,daa yinn ji,да инь цзи
打造,da zao,ta³ tsao⁴,daa tzaw,да цзао
大道,da dao,ta⁴ tao⁴,dah daw,да дао
大街,da jie,ta⁴ chieh¹,dah jie,да цзе
大力,da li,ta⁴ li⁴,dah lih,да ли
大米,da mi,ta⁴ mi³,dah mii,да ми
大批,da pi,ta⁴ p'i¹,dah pi,да пи
大赛,da sai,ta⁴ sai⁴,dah say,да сай
大师,da shi,ta⁴ shih¹,dah shy,да ши
大使,da shi,ta⁴ shih³,dah shyy,да ши
待会儿,dai hui er,tai¹ hui⁴ r,dai huey r,дай хуэй эр
担忧,dan you,tan¹ yu¹,dan iou,дань ю
单打,dan da,tan¹ ta³,dan daa,дань да
诞生,dan sheng,tan⁴ sheng¹,dann sheng,дань шэн
党,dang,tang³,daang,дан
当,dang,tang¹,dang,дан
当天,dang tian,tang¹ t'ien¹,dang tian,дан тянь
当作,dang zuo,tang⁴ tso⁴,danq tzuoh,дан цзо
档案,dang an,tang⁴ an⁴,danq ann,дан ань
岛,dao,tao³,dao,дао
到期,dao qi,tao⁴ ch'i¹,daw chi,дао ци
盗版,dao ban,tao⁴ pan³,daw baan,дао бань
道教,dao jiao,tao⁴ chiao⁴,daw jiaw,дао цзяо
道歉,dao qian,tao⁴ ch'ien⁴,daw chiann,дао цянь
低头,di tou,ti¹ t'ou²,di tour,ди тоу
低温,di wen,ti¹ wen¹,di uen,ди вэнь
滴,di,ti¹,di,ди
抵达,di da,ti³ ta²,dii dar,ди да
抵抗,di kang,ti³ k'ang⁴,dii kanq,ди кан
地板,di ban,ti⁴ pan³,dih baan,ди бань
地名,di ming,ti⁴ ming²,dih ming,ди мин
地下室,di xia shi,ti⁴ hsia⁴ shih⁴,dih shiah shyh,ди ся ши
电车,dian che,tien⁴ ch'e¹,diann che,дянь чэ
电动,dian dong,tien⁴ tung⁴,diann donq,дянь дун
电力,dian li,tien⁴ li⁴,diann lih,дянь ли
电器,dian qi,tien⁴ ch'i⁴,diann chih,дянь ци
吊,diao,tiao⁴,diaw,дяо
调研,diao yan,tiao⁴ yan²,diaw yan,дяо янь
跌,die,tieh¹,die,де
定价,ding jia,ting⁴ chia⁴,dinq jiah,дин цзя
定时,ding shi,ting⁴ shih²,dinq shyr,дин ши
定位,ding wei,ting⁴ wei⁴,dinq wey,дин вэй
动画,dong hua,tung⁴ hua⁴,donq huah,дун хуа
斗争,dou zheng,tou⁴ cheng¹,dow jeng,доу чжэн
都市,du shi,tu¹ shih⁴,du shyh,ду ши
毒品,du pin,tu² p'in³,dwu piin,ду пинь
赌,du,tu³,duu,ду
赌博,du bo,tu³ po²,duu bor,ду бо
渡,du,tu⁴,duh,ду
端,duan,tuan¹,duan,дуань
短片,duan pian,tuan³ p'ien⁴,doan piann,дуань пянь
对抗,dui kang,tui⁴ k'ang⁴,duey kanq,дуй кан
对外,dui wai,tui⁴ wai⁴,duey way,дуй вай
蹲,dun,tun¹,duen,дунь
多半,duo ban,to¹ pan⁴,duo bann,до бань
多方面,duo fang mian,to¹ fang¹ mien⁴,duo fang miann,до фан мянь
多媒体,duo mei ti,to¹ mei² t'i³,duo mei tii,до мэй ти
夺,duo,to²,dwo,до
夺取,duo qu,to² ch'ü³,dwo cheu,до цюй
恩人,en ren,en¹ jen²,en ren,энь жэнь
儿科,er ke,erh² k'o¹,erl ke,эр кэ
发病,fa bing,fa¹ ping⁴,fa binq,фа бин
发电,fa dian,fa¹ tien⁴,fa diann,фа дянь
发放,fa fang,fa¹ fang⁴,fa fanq,фа фан
发怒,fa nu,fa¹ nu⁴,fa nuh,фа ну
发起,fa qi,fa¹ ch'i³,fa chii,фа ци
发言人,fa yan ren,fa¹ yan² jen²,fa yan ren,фа янь жэнь
发炎,fa yan,fa¹ yan²,fa yan,фа янь
法庭,fa ting,fa³ t'ing²,faa tyng,фа тин
法语,fa yu,fa³ yü³,faa yeu,фа юй
番,fan,fan¹,fan,фань
番茄,fan qie,fan¹ ch'ieh²,fan chye,фань це
凡是,fan shi,fan² shih⁴,farn shyh,фань ши
繁殖,fan zhi,fan² chih²,farn jyr,фань чжи
反抗,fan kang,fan³ k'ang⁴,faan kanq,фань кан
反问,fan wen,fan³ wen⁴,faan wenn,фань вэнь
反响,fan xiang,fan³ hsiang³,faan sheang,фань сян
犯,fan,fan⁴,fann,фань
犯规,fan gui,fan⁴ kuei¹,fann guei,фань гуй
犯罪,fan zui,fan⁴ tsui⁴,fann tzuey,фань цзуй
防范,fang fan,fang² fan⁴,farng fann,фан фань
防守,fang shou,fang² shou³,farng shoou,фан шоу
房价,fang jia,fang² chia⁴,farng jiah,фан цзя
仿佛,fang fo,fang³ fu²,faang fwu,фан фо
飞船,fei chuan,fei¹ ch'uan²,fei chwan,фэй чуань
飞行员,fei xing yuan,fei¹ hsing² yüan²,fei shyng yuan,фэй син юань
肺,fei,fei⁴,fey,фэй
分工,fen gong,fen¹ kung¹,fen gong,фэнь гун
分裂,fen lie,fen¹ lieh⁴,fen lieh,фэнь ле
愤怒,fen nu,fen⁴ nu⁴,fenn nuh,фэнь ну
风暴,feng bao,feng¹ pao⁴,feng baw,фэн бао
峰会,feng hui,feng¹ hui⁴,feng huey,фэн хуэй
奉献,feng xian,feng⁴ hsien⁴,fenq shiann,фэн сянь
佛,fo,fo²,for,фо
佛教,fo jiao,fo² chiao⁴,for jiaw,фо цзяо
服,fu,fu²,fwu,фу
浮,fu,fu²,fwu,фу
父子,fu zi,fu⁴ tzu³,fuh tzyy,фу цзы
负,fu,fu⁴,fuh,фу
复苏,fu su,fu⁴ su¹,fuh su,фу су
副,fu,fu⁴,fuh,фу
副,fu,fu⁴,fuh,фу
富人,fu ren,fu⁴ jen²,fuh ren,фу жэнь
富有,fu you,fu⁴ yu³,fuh yeou,фу ю
改装,gai zhuang,kai³ chuang¹,gae juang,гай чжуан
干涉,gan she,kan¹ she⁴,gan sheh,гань шэ
肝,gan,kan¹,gan,гань
杆,gan,kan¹,gan,гань
赶忙,gan mang,kan³ mang²,gaan mang,гань ман
赶上,gan shang,kan³ shang⁴,gaan shanq,гань шан
敢于,gan yu,kan³ yü²,gaan yu,гань юй
感人,gan ren,kan³ jen²,gaan ren,гань жэнь
刚好,gang hao,kang¹ hao³,gang hao,ган хао
岗位,gang wei,kang³ wei⁴,gaang wey,ган вэй
港口,gang kou,kang³ k'ou³,gaang koou,ган коу
高层,gao ceng,kao¹ ts'eng²,gau tserng,гао цэн
高档,gao dang,kao¹ tang⁴,gau danq,гао дан
高等,gao deng,kao¹ teng³,gau deeng,гао дэн
高峰,gao feng,kao¹ feng¹,gau feng,гао фэн
高考,gao kao,kao¹ k'ao³,gau kao,гао као
高科技,gao ke ji,kao¹ k'o¹ chi⁴,gau ke jih,гао кэ цзи
高手,gao shou,kao¹ shou³,gau shoou,гао шоу
稿子,gao zi,kao³ zi,gao zi,гао цзы
歌唱,ge chang,ko¹ ch'ang⁴,ge chanq,гэ чан
歌词,ge ci,ko¹ tz'u²,ge tsyr,гэ цы
歌星,ge xing,ko¹ hsing¹,ge shing,гэ син
革新,ge xin,ko² hsin¹,ger shin,гэ синь
更是,geng shi,keng⁴ shih⁴,genq shyh,гэн ши
工商,gong shang,kung¹ shang¹,gong shang,гун шан
公,gong,kung¹,gong,гун
公安,gong an,kung¹ an¹,gong an,гун ань
公鸡,gong ji,kung¹ chi¹,gong ji,гун цзи
公众,gong zhong,kung¹ chung⁴,gong jonq,гун чжун
公主,gong zhu,kung¹ chu³,gong juu,гун чжу
攻击,gong ji,kung¹ chi¹,gong ji,гун цзи
供给,gong gei,kung¹ chi³,gong jii,гун гэй
宫,gong,kung¹,gong,гун
巩固,gong gu,kung³ ku⁴,goong guh,гун гу
贡献,gong xian,kung⁴ hsien⁴,gonq shiann,гун сянь
构建,gou jian,kou⁴ chien⁴,gow jiann,гоу цзянь
孤独,gu du,ku¹ tu²,gu dwu,гу ду
孤儿,gu er,ku¹ erh²,gu erl,гу эр
姑姑,gu gu,ku¹ gu,gu gu,гу гу
古典,gu dian,ku³ tien³,guu dean,гу дянь
股,gu,ku³,guu,гу
股东,gu dong,ku³ tung¹,guu dong,гу дун
股票,gu piao,ku³ p'iao⁴,guu piaw,гу пяо
故障,gu zhang,ku⁴ chang⁴,guh janq,гу чжан
顾,gu,ku⁴,guh,гу
刮,gua,kua¹,gua,гуа
拐,guai,kuai³,goai,гуай
关爱,guan ai,kuan¹ ai⁴,guan ay,гуань ай
关联,guan lian,kuan¹ lien²,guan lian,гуань лянь
观光,guan guang,kuan¹ kuang¹,guan guang,гуань гуан
官司,guan si,kuan¹ si,guan si,гуань сы
管道,guan dao,kuan³ tao⁴,goan daw,гуань дао
光辉,guang hui,kuang¹ hui¹,guang huei,гуан хуэй
广阔,guang kuo,kuang³ k'uo⁴,goang kuoh,гуан ко
轨道,gui dao,kuei³ tao⁴,goei daw,гуй дао
跪,gui,kuei⁴,guey,гуй
国产,guo chan,kuo² ch'an³,gwo chaan,го чань
国歌,guo ge,kuo² ko¹,gwo ge,го гэ
国会,guo hui,kuo² hui⁴,gwo huey,го хуэй
国旗,guo qi,kuo² ch'i²,gwo chyi,го ци
国王,guo wang,kuo² wang²,gwo wang,го ван
果酱,guo jiang,kuo³ chiang⁴,guoo jianq,го цзян
果树,guo shu,kuo³ shu⁴,guoo shuh,го шу
过渡,guo du,kuo⁴ tu⁴,guoh duh,го ду
过后,guo hou,kuo⁴ hou⁴,guoh how,го хоу
过时,guo shi,kuo⁴ shih²,guoh shyr,го ши
海报,hai bao,hai³ pao⁴,hae baw,хай бао
海底,hai di,hai³ ti³,hae dii,хай ди
海军,hai jun,hai³ chün¹,hae jiun,хай цзюнь
海浪,hai lang,hai³ lang⁴,hae lanq,хай лан
海外,hai wai,hai³ wai⁴,hae way,хай вай
海湾,hai wan,hai³ wan¹,hae uan,хай вань
海洋,hai yang,hai³ yang²,hae yang,хай ян
好容易,hao rong yi,hao³ jung² i⁴,hao rong yih,хао жун и
好似,hao si,hao³ ssu⁴,hao syh,хао сы
好转,hao zhuan,hao³ chuan³,hao joan,хао чжуань
合约,he yue,ho² yüeh¹,her iue,хэ юэ
和谐,he xie,ho² hsieh²,her shye,хэ се
核心,he xin,ho² hsin¹,her shin,хэ синь
黑夜,hei ye,hei¹ yeh⁴,hei yeh,хэй е
很难说,hen nan shuo,hen³ nánshuō,heen nánshuō,хэнь шо
狠,hen,hen³,heen,хэнь
横,heng,heng²,herng,хэн
衡量,heng liang,heng² liang²,herng liang,хэн лян
宏大,hong da,hung² ta⁴,horng dah,хун да
洪水,hong shui,hung² shui³,horng shoei,хун шуй
壶,hu,hu²,hwu,ху
互动,hu dong,hu⁴ tung⁴,huh donq,ху дун
户外,hu wai,hu⁴ wai⁴,huh way,ху вай
护,hu,hu⁴,huh,ху
花费,hua fei,hua¹ fei⁴,hua fey,хуа фэй
花瓶,hua ping,hua¹ p'ing²,hua pyng,хуа пин
花生,hua sheng,hua¹ sheng¹,hua sheng,хуа шэн
化解,hua jie,hua⁴ chieh³,huah jiee,хуа цзе
幻想,huan xiang,huan⁴ hsiang³,huann sheang,хуань сян
患者,huan zhe,huan⁴ che³,huann jee,хуань чжэ
皇帝,huang di,huang² ti⁴,hwang dih,хуан ди
回应,hui ying,hui² ying⁴,hwei yinq,хуэй ин
毁,hui,hui³,hoei,хуэй
会见,hui jian,hui⁴ chien⁴,huey jiann,хуэй цзянь
会长,hui chang,hui⁴ chang³,huey jaang,хуэй чан
绘画,hui hua,hui⁴ hua⁴,huey huah,хуэй хуа
昏,hun,hun¹,huen,хунь
混合,hun he,hun⁴ ho²,huenn her,хунь хэ
混乱,hun luan,hun⁴ luan⁴,huenn luann,хунь луань
活跃,huo yue,huo² yüeh⁴,hwo yueh,хо юэ
火箭,huo jian,huo³ chien⁴,huoo jiann,хо цзянь
机动车,ji dong che,chi¹ tung⁴ ch'e¹,ji donq che,цзи дун чэ
机关,ji guan,chi¹ kuan¹,ji guan,цзи гуань
机械,ji xie,chi¹ hsieh⁴,ji shieh,цзи се
基督教,ji du jiao,chi¹ tu¹ chiao⁴,ji du jiaw,цзи ду цзяо
激情,ji qing,chi¹ ch'ing²,ji chyng,цзи цин
吉利,ji li,chi² li⁴,jyi lih,цзи ли
吉祥,ji xiang,chi² hsiang²,jyi shyang,цзи сян
极端,ji duan,chi² tuan¹,jyi duan,цзи дуань
急救,ji jiu,chi² chiu⁴,jyi jiow,цзи цзю
疾病,ji bing,chi² ping⁴,jyi binq,цзи бин
集,ji,chi²,jyi,цзи
给予,gei yu,chi³ yü³,jii yeu,гэй юй
加盟,jia meng,chia¹ meng²,jia meng,цзя мэн
家电,jia dian,chia¹ tien⁴,jia diann,цзя дянь
家园,jia yuan,chia¹ yüan²,jia yuan,цзя юань
嘉宾,jia bin,chia¹ pin¹,jia bin,цзя бинь
假日,jia ri,chia⁴ jih⁴,jiah ryh,цзя жи
尖,jian,chien¹,jian,цзянь
监测,jian ce,chien¹ ts'e⁴,jian tseh,цзянь цэ
监督,jian du,chien¹ tu¹,jian du,цзянь ду
捡,jian,chien³,jean,цзянь
简介,jian jie,chien³ chieh⁴,jean jieh,цзянь цзе
剑,jian,chien⁴,jiann,цзянь
鉴定,jian ding,chien⁴ ting⁴,jiann dinq,цзянь дин
箭,jian,chien⁴,jiann,цзянь
将军,jiang jun,chiang¹ chün¹,jiang jiun,цзян цзюнь
讲课,jiang ke,chiang³ k'o⁴,jeang keh,цзян кэ
酱,jiang,chiang⁴,jianq,цзян
酱油,jiang you,chiang⁴ yu²,jianq you,цзян ю
骄傲,jiao ao,chiao¹ ao⁴,jiau aw,цзяо ао
焦点,jiao dian,chiao¹ tien³,jiau dean,цзяо дянь
脚印,jiao yin,chiao³ yin⁴,jeau yinn,цзяо инь
觉,jue,chiao⁴,jiaw,цзюэ
教堂,jiao tang,chiao⁴ t'ang²,jiaw tarng,цзяо тан
教育部,jiao yu bu,chiao⁴ yü⁴ pu⁴,jiaw yuh buh,цзяо юй бу
接收,jie shou,chieh¹ shou¹,jie shou,цзе шоу
揭,jie,chieh¹,jie,цзе
街头,jie tou,chieh¹ t'ou²,jie tour,цзе тоу
节,jie,chieh²,jye,цзе
节假日,jie jia ri,chieh² chia⁴ jih⁴,jye jiah ryh,цзе цзя жи
节能,jie neng,chieh² neng²,jye neng,цзе нэн
节奏,jie zou,chieh² tsou⁴,jye tzow,цзе цзоу
杰出,jie chu,chieh² ch'u¹,jye chu,цзе чу
截止,jie zhi,chieh² chih³,jye jyy,цзе чжи
截至,jie zhi,chieh² chih⁴,jye jyh,цзе чжи
解说,jie shuo,chieh³ shuo¹,jiee shuo,цзе шо
界,jie,chieh⁴,jieh,цзе
界,jie,chieh⁴,jieh,цзе
借鉴,jie jian,chieh⁴ chien⁴,jieh jiann,цзе цзянь
金额,jin e,chin¹ e²,jin er,цзинь э
金钱,jin qian,chin¹ ch'ien²,jin chyan,цзинь цянь
金融,jin rong,chin¹ jung²,jin rong,цзинь жун
尽,jin,chin⁴,jinn,цзинь
进攻,jin gong,chin⁴ kung¹,jinn gong,цзинь гун
近日,jin ri,chin⁴ jih⁴,jinn ryh,цзинь жи
近视,jin shi,chin⁴ shih⁴,jinn shyh,цзинь ши
惊人,liang ren,ching¹ jen²,jing ren,лян жэнь
惊喜,liang xi,ching¹ hsi³,jing shii,лян си
精,jing,ching¹,jing,цзин
精美,jing mei,ching¹ mei³,jing meei,цзин мэй
精品,jing pin,ching¹ p'in³,jing piin,цзин пинь
井,jing,ching³,jiing,цзин
景,jing,ching³,jiing,цзин
景点,jing dian,ching³ tien³,jiing dean,цзин дянь
净,jing,ching⁴,jinq,цзин
纠纷,jiu fen,chiu¹ fen¹,jiou fen,цзю фэнь
纠正,jiu zheng,chiu¹ cheng⁴,jiou jenq,цзю чжэн
酒水,jiu shui,chiu³ shui³,jeou shoei,цзю шуй
救命,jiu ming,chiu⁴ ming⁴,jiow minq,цзю мин
救援,jiu yuan,chiu⁴ yüan²,jiow yuan,цзю юань
救助,jiu zhu,chiu⁴ chu⁴,jiow juh,цзю чжу
就是说,jiu shi shuo,chiu⁴ shih⁴ shuo¹,jiow shyh shuo,цзю ши шо
就算,jiu suan,chiu⁴ suan⁴,jiow suann,цзю суань
局,ju,chü²,jyu,цзюй
剧,ju,chü⁴,jiuh,цзюй
据,ju,chü⁴,jiuh,цзюй
捐,juan,chüan¹,jiuan,цзюань
捐款,juan kuan,chüan¹ k'uan³,jiuan koan,цзюань куань
捐赠,juan zeng,chüan¹ tseng⁴,jiuan tzenq,цзюань цзэн
捐助,juan zhu,chüan¹ chu⁴,jiuan juh,цзюань чжу
决策,jue ce,chüeh² ts'e⁴,jyue tseh,цзюэ цэ
觉悟,jue wu,chüeh² wu⁴,jyue wuh,цзюэ у
绝,jue,chüeh²,jyue,цзюэ
绝大多数,jue da duo shu,chüeh² ta⁴ to¹ shu⁴,jyue dah duo shuh,цзюэ да до шу
军队,jun dui,chün¹ tui⁴,jiun duey,цзюнь дуй
军舰,jun jian,chün¹ chien⁴,jiun jiann,цзюнь цзянь
军事,jun shi,chün¹ shih⁴,jiun shyh,цзюнь ши
开创,kai chuang,k'ai¹ ch'uang⁴,kai chuanq,кай чуан
开关,kai guan,k'ai¹ kuan¹,kai guan,кай гуань
开设,kai she,k'ai¹ she⁴,kai sheh,кай шэ
开通,kai tong,k'ai¹ t'ung¹,kai tong,кай тун
开头,kai tou,k'ai¹ t'ou²,kai tour,кай тоу
开夜车,kai ye che,k'ai¹ yeh⁴ ch'e¹,kai yeh che,кай е чэ
看,kan,k'an¹,kan,кань
看管,kan guan,k'an¹ kuan³,kan goan,кань гуань
看得起,kan de qi,k'an⁴ de ch'i³,kann de chii,кань дэ ци
看作,kan zuo,k'an⁴ tso⁴,kann tzuoh,кань цзо
康复,kang fu,k'ang¹ fu⁴,kang fuh,кан фу
抗议,kang yi,k'ang⁴ i⁴,kanq yih,кан и
考场,kao chang,k'ao³ ch'ang³,kao chaang,као чан
考题,kao ti,k'ao³ t'i²,kao tyi,као ти
科研,ke yan,k'o¹ yan²,ke yan,кэ янь
客车,ke che,k'o⁴ ch'e¹,keh che,кэ чэ
肯,ken,k'en³,keen,кэнь
空军,kong jun,k'ung¹ chün¹,kong jiun,кун цзюнь
口试,kou shi,k'ou³ shih⁴,koou shyh,коу ши
扣,kou,k'ou⁴,kow,коу
酷,ku,k'u⁴,kuh,ку
跨,kua,k'ua⁴,kuah,куа
快车,kuai che,k'uai⁴ ch'e¹,kuay che,куай чэ
宽阔,kuan kuo,k'uan¹ k'uo⁴,kuan kuoh,куань ко
矿,kuang,k'uang⁴,kuanq,куан
阔,kuo,k'uo⁴,kuoh,ко
来往,lai wang,lai² wang³,lai woang,лай ван
赖,lai,lai⁴,lay,лай
栏目,lan mu,lan² mu⁴,lan muh,лань му
蓝领,lan ling,lan² ling³,lan liing,лань лин
蓝天,lan tian,lan² t'ien¹,lan tian,лань тянь
懒,lan,lan³,laan,лань
牢,lao,lao²,lau,лао
老乡,lao xiang,lao³ hsiang¹,lao shiang,лао сян
冷气,leng qi,leng³ ch'i⁴,leeng chih,лэн ци
冷水,leng shui,leng³ shui³,leeng shoei,лэн шуй
礼堂,li tang,li³ t'ang²,lii tarng,ли тан
理,li,li³,lii,ли
理财,li cai,li³ ts'ai²,lii tsair,ли цай
理智,li zhi,li³ chih⁴,lii jyh,ли чжи
力,li,li⁴,lih,ли
利,li,li⁴,lih,ли
联盟,lian meng,lien² meng²,lian meng,лянь мэн
联赛,lian sai,lien² sai⁴,lian say,лянь сай
联手,lian shou,lien² shou³,lian shoou,лянь шоу
凉鞋,liang xie,liang² hsieh²,liang shye,лян се
两侧,liang ce,liang³ ts'e⁴,leang tseh,лян цэ
两手,liang shou,liang³ shou³,leang shoou,лян шоу
聊,liao,liao²,liau,ляо
聊天儿,liao tian er,liao² t'ien¹ r,liau tian r,ляо тянь эр
料,liao,liao⁴,liaw,ляо
料,liao,liao⁴,liaw,ляо
裂,lie,lieh⁴,lieh,ле
灵活,ling huo,ling² huo²,ling hwo,лин хо
领取,ling qu,ling³ ch'ü³,liing cheu,лин цюй
领袖,ling xiu,ling³ hsiu⁴,liing shiow,лин сю
另,ling,ling⁴,linq,лин
留言,liu yan,liu² yan²,liou yan,лю янь
流感,liu gan,liu² kan³,liou gaan,лю гань
楼道,lou dao,lou² tao⁴,lou daw,лоу дао
楼房,lou fang,lou² fang²,lou farng,лоу фан
露,lu,lou⁴,low,лу
陆军,lu jun,lu⁴ chün¹,luh jiun,лу цзюнь
录像,lu xiang,lu⁴ hsiang⁴,luh shianq,лу сян
录音机,lu yin ji,lu⁴ yin¹ chi¹,luh in ji,лу инь цзи
路过,lu guo,lu⁴ kuo⁴,luh guoh,лу го
露,lu,lu⁴,luh,лу
马车,ma che,ma³ ch'e¹,maa che,ма чэ
埋,mai,mai²,mai,май
馒头,man tou,man² tou,man tou,мань тоу
慢车,man che,man⁴ ch'e¹,mann che,мань чэ
盲人,mang ren,mang² jen²,mang ren,ман жэнь
梅花,mei hua,mei² hua¹,mei hua,мэй хуа
美容,mei rong,mei³ jung²,meei rong,мэй жун
蒙,meng,meng²,meng,мэн
猛,meng,meng³,meeng,мэн
棉,mian,mien²,mian,мянь
面对面,mian dui mian,mien⁴ tui⁴ mien⁴,miann duey miann,мянь дуй мянь
面向,mian xiang,mien⁴ hsiang⁴,miann shianq,мянь сян
妙,miao,miao⁴,miaw,мяо
灭,mie,mieh⁴,mieh,ме
民歌,min ge,min² ko¹,min ge,минь гэ
民工,min gong,min² kung¹,min gong,минь гун
民警,min jing,min² ching³,min jiing,минь цзин
民意,min yi,min² i⁴,min yih,минь и
民主,min zhu,min² chu³,min juu,минь чжу
名额,ming e,ming² e²,ming er,мин э
名胜,ming sheng,ming² sheng⁴,ming shenq,мин шэн
名义,ming yi,ming² i⁴,ming yih,мин и
名誉,ming yu,ming² yü⁴,ming yuh,мин юй
明日,ming ri,ming² jih⁴,ming ryh,мин жи
命,ming,ming⁴,minq,мин
膜,mo,mo²,mo,мо
磨,mo,mo²,mo,мо
没收,mei shou,mo⁴ shou¹,moh shou,мэй шоу
墨水,mo shui,mo⁴ shui³,moh shoei,мо шуй
母,mu,mu³,muu,му
母鸡,mu ji,mu³ chi¹,muu ji,му цзи
母子,mu zi,mu³ tzu³,muu tzyy,му цзы
墓,mu,mu⁴,muh,му
拿走,na zou,na² tsou³,na tzoou,на цзоу
奶粉,nai fen,nai³ fen³,nae feen,най фэнь
奶牛,nai niu,nai³ niu²,nae niou,най ню
难忘,nan wang,nan² wang⁴,nan wanq,ван
